"No.","Time","Source","Destination","Protocol","Length","Info"
"69","44.630842","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=53 Ack=146 Win=65152 Len=4 TSval=1728609774 TSecr=3504556642 [TCP segment of a reassembled PDU]"
"70","44.630993","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=146 Ack=57 Win=64256 Len=0 TSval=3504556643 TSecr=1728609774"
"71","44.631945","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=146 Ack=57 Win=64256 Len=4 TSval=3504556644 TSecr=1728609774 [TCP segment of a reassembled PDU]"
"72","44.633622","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=63 Ack=3 Win=509 Len=10 TSval=2488290735 TSecr=2826618039 [TCP segment of a reassembled PDU]"
"73","44.633782","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=73 Win=502 Len=0 TSval=2826619044 TSecr=2488290735"
"74","44.633884","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=57 Ack=150 Win=65152 Len=4 TSval=1728609777 TSecr=3504556644 [TCP segment of a reassembled PDU]"
"75","44.634014","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=150 Ack=61 Win=64256 Len=0 TSval=3504556646 TSecr=1728609777"
"76","45.631247","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=150 Ack=61 Win=64256 Len=12 TSval=3504557643 TSecr=1728609777"
"77","45.631473","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=61 Ack=162 Win=65152 Len=4 TSval=1728610774 TSecr=3504557643 [TCP segment of a reassembled PDU]"
"78","45.631545","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=162 Ack=65 Win=64256 Len=0 TSval=3504557643 TSecr=1728610774"
"79","45.631725","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=162 Ack=65 Win=64256 Len=4 TSval=3504557644 TSecr=1728610774 [TCP segment of a reassembled PDU]"
"80","45.631957","172.19.0.8","172.19.0.7","TCP","76","8088  >  35696 [PSH, ACK] Seq=73 Ack=3 Win=509 Len=10 TSval=2488291733 TSecr=2826619044 [TCP segment of a reassembled PDU]"
"81","45.632055","172.19.0.7","172.19.0.8","TCP","66","35696  >  8088 [ACK] Seq=3 Ack=83 Win=502 Len=0 TSval=2826620042 TSecr=2488291733"
"82","45.632090","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=65 Ack=166 Win=65152 Len=4 TSval=1728610775 TSecr=3504557644 [TCP segment of a reassembled PDU]"
"83","45.632167","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=166 Ack=69 Win=64256 Len=0 TSval=3504557644 TSecr=1728610775"
"84","46.632833","172.19.0.9","172.19.0.8","TCP","78","49258  >  8088 [PSH, ACK] Seq=166 Ack=69 Win=64256 Len=12 TSval=3504558645 TSecr=1728610775"
"85","46.633261","172.19.0.8","172.19.0.9","TCP","70","8088  >  49258 [PSH, ACK] Seq=69 Ack=178 Win=65152 Len=4 TSval=1728611776 TSecr=3504558645 [TCP segment of a reassembled PDU]"
"86","46.633346","172.19.0.9","172.19.0.8","TCP","66","49258  >  8088 [ACK] Seq=178 Ack=73 Win=64256 Len=0 TSval=3504558645 TSecr=1728611776"
"87","46.633526","172.19.0.9","172.19.0.8","TCP","70","49258  >  8088 [PSH, ACK] Seq=178 Ack=73 Win=64256 Len=4 TSval=3504558646 TSecr=1728611776 [TCP segment of a reassembled PDU]"
